#gs	avg_shap	gid	gs2
TFE3	0.011444363929693948	7030	TFE3
MMADHC	0.006731868847896847	27249	MMADHC
PABPC1L	0.01258332381903291	80336	PABPC1L
RELL2	0.011285669814760396	285613	RELL2
GPT	0.004634203734683246	2875	GPT
GUSB	0.012847995827725108	2990	GUSB
H4C16	0.019165954236158387	121504	H4C16
DDB2	0.010835890831402099	1643	DDB2
RPS4X	0.012706168897244723	6191	RPS4X
HINFP	0.03815587848954447	25988	HINFP
ZFP1	0.016223027744962388	162239	ZFP1
LDAH	0.01698759013960318	60526	LDAH
NDUFA7	0.0052826490268834065	4701	NDUFA7
PTPN11	0.01010589437393728	5781	PTPN11
ROGDI	0.013117205444903976	79641	ROGDI
DTNBP1	0.011184455827078938	84062	DTNBP1
GNG10	0.026420260928090782	2790	GNG10
PBX2	0.005467125577211495	5089	PBX2
ANK3	0.025575369202173764	288	ANK3
FAM234B	0.03912087683327817	57613	FAM234B
LBP	0.00251352656554082	3929	LBP
PRDM2	0.005792269867522153	7799	PRDM2
CDC27	0.0033722171276060336	996	CDC27
ADTRP	0.007927306261449715	84830	ADTRP
MAN2B2	0.005987304050606063	23324	MAN2B2
PCDHGB3	0.0034039810906776402	56102	PCDHGB3
METTL2A	0.005079397477929944	339175	METTL2A
COG1	0.0018019553225366459	9382	COG1
ADRM1	0.0019325972332595448	11047	ADRM1
EDC3	0.007872800962713391	80153	EDC3
CYB5R4	0.005293798110208681	51167	CYB5R4
CLTCL1	0.0037134715223943373	8218	CLTCL1
FCAMR	0.0013472737017133764	83953	FCAMR
C2CD4A	0.0021812737653653866	145741	C2CD4A
TRIM71	0.005686109251155757	131405	TRIM71
NT5M	0.007797680677979849	56953	NT5M
CASP8	0.012982934710582383	841	CASP8
ZBTB2	0.007923475062835366	57621	ZBTB2
SFR1	0.005732863392297903	119392	SFR1
CERS2	0.01123294125969535	29956	CERS2
EVX1	0.0025851959151787208	2128	EVX1
NOG	0.01149421524038049	9241	NOG
CLU	0.014840616267196408	1191	CLU
TENT2	0.004176307406645274	167153	TENT2
EPHB6	0.01739858412947312	2051	EPHB6
SHISA5	0.007849932325120483	51246	SHISA5
GPR182	0.0005538750481727702	11318	GPR182
NEMP2	0.004491512378020479	100131211	NEMP2
CBY2	0.0012703883162168144	220082	CBY2
KCNC2	0.0026615026846405643	3747	KCNC2
GLYATL2	0.02243109534493512	219970	GLYATL2
ZFP41	0.018207555832785282	286128	ZFP41
NPAP1	0.00018588287188416226	23742	NPAP1
GATD3	0.00778347015855283	8209	GATD3
NLK	0.017341705504605648	51701	NLK
ARID2	0.019221781912322718	196528	ARID2
SLC5A2	0.004923329644833385	6524	SLC5A2
CDHR1	0.018212177920473152	92211	CDHR1
THRAP3	0.011937929395106628	9967	THRAP3
IER5L	0.05746729108248225	389792	IER5L
ARL16	0.023566445620107127	339231	ARL16
TLCD5	0.019258378017168967	219902	TLCD5
DCAF5	0.0077871703787774915	8816	DCAF5
OTOL1	0.0013145741268228207	131149	OTOL1
HS3ST3B1	0.014591149113673358	9953	HS3ST3B1
SPDYE11	0.00139505766044791	100996746	SPDYE11
KRT12	0.004692312324284099	3859	KRT12
DRICH1	0.003563204600246738	51233	DRICH1
CHRNA10	0.009198381477105035	57053	CHRNA10
IQCF6	0.0006464605160379663	440956	IQCF6
KLHL23	0.015923210721827757	151230	KLHL23
RPF2	0.00934477102707926	84154	RPF2
SH3GL1	0.004235421422510438	6455	SH3GL1
GPR174	0.009484998570094936	84636	GPR174
VHLL	0.0007515078075714359	391104	VHLL
FSIP2	0.003389135876328504	401024	FSIP2
C3orf84	9.410586090199992e-05	646498	C3orf84
CHRNE	0.003387956962864423	1145	CHRNE
MAPK4	0.006570230255288904	5596	MAPK4
TPTE2	0.0051748643740356206	93492	TPTE2
TMEM207	0.0010393499439023742	131920	TMEM207
CD160	0.001718628440343183	11126	CD160
DCTD	0.011721038564899078	1635	DCTD
DNAJC25-GNG10	0.01622554418917176	552891	DNAJC25-GNG10
MYH11	0.011504493331264286	4629	MYH11
KCNV1	0.006567714561908571	27012	KCNV1
HSPA4L	0.02805451394684833	22824	HSPA4L
