#cell_line_id	d_cid	log10_conc	ic50
ACH-000068	73759760	-10.339849	1.009
ACH-000398	73759760	-7.954243	0.698
ACH-000886	73759760	-8.431364	0.8995
ACH-000621	73759760	-7.477121	-0.551
ACH-000522	73759760	-8.431364	0.989
ACH-000534	73759760	-10.339849	1.024
ACH-000315	73759760	-10.339849	1.1
ACH-000067	73759760	-10.81697	1.03
ACH-000888	73759760	-8.908485	0.964
ACH-000856	73759760	-7.477121	0.0800000000000001
ACH-000311	73759760	-7.477121	0.478
ACH-000068	73759760	-8.908485	1.005
ACH-000311	73759760	-9.862727	1.044
ACH-000867	73759760	-7.954243	0.435
ACH-000522	73759760	-9.862727	0.992
ACH-000066	73759760	-9.862727	1.04
ACH-000056	73759760	-7.477121	0.224
ACH-000856	73759760	-8.908485	1.025
ACH-000781	73759760	-7.477121	0.967
ACH-000162	73759760	-7.954243	0.384
ACH-000534	73759760	-9.862727	0.984
ACH-000666	73759760	-7.954243	0.9490000000000001
ACH-000886	73759760	-10.339849	0.9975
ACH-000311	73759760	-9.385606	0.991
ACH-000886	73759760	-9.862727	0.989
ACH-000092	73759760	-10.81697	0.993
ACH-000398	73759760	-7.477121	0.044
ACH-000825	73759760	-8.908485	0.918
ACH-000155	73759760	-9.385606	1.029
ACH-000627	73759760	-7.477121	0.15850000000000003
ACH-000534	73759760	-9.385606	1.011
ACH-000522	73759760	-7.954243	0.539
ACH-000621	73759760	-7.0	-0.667
ACH-000768	73759760	-7.0	0.143
ACH-001075	73759760	-9.385606	0.9604999999999999
ACH-000894	73759760	-7.954243	0.986
ACH-000450	73759760	-8.908485	1.018
ACH-000858	73759760	-10.81697	1.0225
ACH-000465	73759760	-9.862727	1.006
ACH-000481	73759760	-7.0	-0.217
ACH-000028	73759760	-10.339849	1.068
ACH-000894	73759760	-8.431364	0.943
ACH-000768	73759760	-8.908485	0.983
ACH-000511	73759760	-8.431364	0.963
ACH-000053	73759760	-7.477121	-0.195
ACH-000595	73759760	-10.81697	1.007
ACH-000787	73759760	-8.431364	0.981
ACH-000311	73759760	-10.81697	0.9929999999999999
ACH-000411	73759760	-10.339849	0.976
ACH-000786	73759760	-9.385606	1.088
ACH-000627	73759760	-10.339849	0.9525
ACH-000482	73759760	-7.477121	0.3015
ACH-000367	73759760	-7.477121	0.7444999999999999
ACH-000655	73759760	-10.339849	1.112
ACH-000621	73759760	-9.862727	0.9
ACH-000277	73759760	-10.339849	1.004
ACH-000860	73759760	-9.862727	0.96
ACH-000888	73759760	-9.862727	0.9664999999999999
ACH-000035	73759760	-7.954243	0.691
ACH-000510	73759760	-10.339849	0.9844999999999999
ACH-000334	73759760	-9.385606	0.945
ACH-000068	73759760	-9.862727	0.994
ACH-000307	73759760	-10.339849	0.91
ACH-000621	73759760	-7.954243	0.077
ACH-000886	73759760	-7.477121	0.251
ACH-000621	73759760	-9.385606	1.091
ACH-000277	73759760	-7.954243	0.947
ACH-000706	73759760	-10.339849	0.978
ACH-000587	73759760	-10.339849	1.015
ACH-000411	73759760	-7.477121	0.597
ACH-000292	73759760	-9.862727	0.996
ACH-000534	73759760	-8.431364	0.858
ACH-000731	73759760	-8.908485	0.903
ACH-000092	73759760	-7.477121	0.402
ACH-000155	73759760	-10.81697	0.901
ACH-000092	73759760	-8.431364	0.951
ACH-000861	73759760	-7.954243	0.7795
ACH-000307	73759760	-7.0	0.0269999999999999
ACH-002004	73759760	-8.908485	1.031
ACH-000292	73759760	-10.81697	0.95
ACH-000277	73759760	-10.81697	1.013
ACH-000121	73759760	-10.81697	1.075
ACH-000440	73759760	-9.862727	1.087
ACH-000888	73759760	-8.431364	0.84
ACH-000288	73759760	-9.385606	0.992
ACH-000534	73759760	-8.908485	0.987
ACH-000914	73759760	-7.954243	0.153
ACH-000400	73759760	-9.385606	0.953
ACH-000434	73759760	-9.862727	0.836
ACH-000024	73759760	-7.0	-0.897
ACH-000587	73759760	-9.385606	0.865
ACH-000367	73759760	-7.954243	0.878
ACH-000886	73759760	-7.954243	0.6479999999999999
ACH-000621	73759760	-8.908485	0.905
ACH-000522	73759760	-10.81697	0.969
ACH-000852	73759760	-10.339849	0.985
ACH-000068	73759760	-8.431364	1.021
ACH-000980	73759760	-8.431364	0.961
ACH-000343	73759760	-7.954243	1.013
ACH-000656	73759760	-8.431364	1.012
ACH-000924	73759760	-9.862727	1.008
ACH-000465	73759760	-9.385606	0.975
ACH-000365	73759760	-10.339849	1.032
ACH-000398	73759760	-9.862727	0.968
ACH-000092	73759760	-9.862727	1.001
ACH-000307	73759760	-9.385606	0.868
ACH-000587	73759760	-8.431364	0.967
ACH-000971	73759760	-7.954243	0.552
ACH-000315	73759760	-8.431364	0.984
ACH-002003	73759760	-7.477121	0.083
ACH-000925	73759760	-7.477121	0.395
ACH-002003	73759760	-10.81697	1.006
ACH-000401	73759760	-7.477121	0.624
ACH-000595	73759760	-7.0	0.128
ACH-000595	73759760	-7.954243	0.908
ACH-000788	73759760	-8.431364	0.65
ACH-000311	73759760	-8.908485	1.006
ACH-000583	73759760	-7.0	-0.778
ACH-000914	73759760	-8.908485	0.979
ACH-000867	73759760	-9.385606	0.955
ACH-000056	73759760	-8.431364	0.885
ACH-000350	73759760	-10.339849	1.141
ACH-000595	73759760	-7.477121	0.176
ACH-000015	73759760	-8.908485	1.011
ACH-000979	73759760	-9.862727	0.948
ACH-000706	73759760	-8.908485	0.998
ACH-000124	73759760	-9.385606	1.013
ACH-000108	73759760	-7.954243	0.815
ACH-000768	73759760	-7.477121	0.275
ACH-000350	73759760	-9.862727	1.029
ACH-000288	73759760	-10.339849	1.027
ACH-000012	73759760	-8.908485	0.882
ACH-000311	73759760	-7.0	0.16749999999999998
ACH-000914	73759760	-10.339849	0.996
ACH-000945	73759760	-10.339849	1.0445
ACH-000666	73759760	-10.81697	1.0074999999999998
ACH-000768	73759760	-8.431364	0.956
ACH-000447	73759760	-9.862727	1.108
ACH-000053	73759760	-7.0	-0.365
ACH-000603	73759760	-9.385606	0.909
ACH-000979	73759760	-10.81697	0.954
ACH-000867	73759760	-7.0	-0.101
ACH-000578	73759760	-10.339849	0.976
ACH-000365	73759760	-10.81697	1.028
ACH-000348	73759760	-10.339849	0.928
ACH-000869	73759760	-10.81697	0.911
ACH-000925	73759760	-7.954243	0.626
ACH-000378	73759760	-10.81697	0.966
ACH-000562	73759760	-9.385606	0.884
ACH-001274	73759760	-7.954243	0.38
ACH-000660	73759760	-7.477121	-0.832
ACH-000785	73759760	-10.339849	0.885
ACH-000787	73759760	-8.908485	1.026
ACH-000147	73759760	-7.954243	0.59
ACH-000534	73759760	-7.954243	0.279
ACH-000562	73759760	-7.954243	0.609
ACH-000536	73759760	-7.0	0.145
ACH-000786	73759760	-8.908485	1.008
ACH-000365	73759760	-9.862727	1.001
ACH-000307	73759760	-10.81697	1.03
ACH-000378	73759760	-8.908485	1.0
ACH-000061	73759760	-8.908485	1.041
ACH-000787	73759760	-10.339849	1.016
ACH-000840	73759760	-10.81697	1.062
ACH-000162	73759760	-10.81697	1.087
ACH-000656	73759760	-7.477121	0.561
ACH-000307	73759760	-9.862727	0.98
ACH-000530	73759760	-9.862727	1.116
ACH-000186	73759760	-10.339849	0.774
ACH-000521	73759760	-9.862727	0.956
ACH-000819	73759760	-10.81697	0.998
ACH-000118	73759760	-8.431364	0.899
ACH-000587	73759760	-7.0	-0.164
ACH-000784	73759760	-8.431364	0.976
ACH-000536	73759760	-7.954243	0.553
ACH-000980	73759760	-7.954243	1.006
ACH-000768	73759760	-9.385606	0.926
ACH-000158	73759760	-8.431364	0.962
ACH-000277	73759760	-9.862727	0.99
ACH-000768	73759760	-10.339849	0.966
ACH-000277	73759760	-9.385606	0.957
ACH-000350	73759760	-8.431364	1.126
ACH-000307	73759760	-8.431364	0.781
ACH-000587	73759760	-10.81697	1.008
ACH-000288	73759760	-9.862727	0.963
ACH-000888	73759760	-9.385606	0.9824999999999999
ACH-000378	73759760	-9.862727	0.978
ACH-000595	73759760	-10.339849	0.981
ACH-000784	73759760	-7.954243	0.775
ACH-000861	73759760	-8.908485	0.9045000000000001
ACH-000656	73759760	-10.339849	1.008
ACH-000603	73759760	-7.954243	1.031
ACH-000056	73759760	-9.385606	0.993
ACH-000766	73759760	-8.908485	0.931
ACH-000292	73759760	-7.954243	1.013
ACH-000307	73759760	-7.954243	0.524
ACH-000572	73759760	-9.385606	0.959
ACH-000768	73759760	-7.954243	0.775
ACH-000706	73759760	-7.0	0.405
ACH-000860	73759760	-10.339849	0.952
ACH-000277	73759760	-7.0	0.872
ACH-000158	73759760	-10.81697	0.93
ACH-000677	73759760	-10.339849	1.004
ACH-000861	73759760	-8.431364	0.962
ACH-000667	73759760	-10.81697	1.0145
ACH-000398	73759760	-8.431364	0.988
ACH-000012	73759760	-7.0	0.646
ACH-000158	73759760	-7.954243	0.415
ACH-000924	73759760	-7.477121	0.994
ACH-000562	73759760	-8.431364	0.89
ACH-000510	73759760	-8.908485	0.98
ACH-000655	73759760	-10.81697	1.015
ACH-000893	73759760	-9.385606	0.912
ACH-000463	73759760	-8.908485	0.944
ACH-000367	73759760	-9.862727	0.968
ACH-000075	73759760	-7.0	0.51
ACH-000783	73759760	-8.908485	1.022
ACH-000482	73759760	-10.81697	0.9570000000000001
ACH-000945	73759760	-8.908485	1.0110000000000001
ACH-000365	73759760	-8.431364	0.986
ACH-000053	73759760	-9.862727	1.007
ACH-000357	73759760	-9.385606	1.065
ACH-000307	73759760	-8.908485	1.08
ACH-000067	73759760	-7.477121	-0.679
ACH-000825	73759760	-7.954243	0.574
ACH-000886	73759760	-8.908485	0.985
ACH-000583	73759760	-9.385606	1.062
ACH-000892	73759760	-7.0	0.985
ACH-000463	73759760	-10.81697	0.978
ACH-000768	73759760	-10.81697	1.023
ACH-001680	73759760	-7.477121	-0.13
ACH-000155	73759760	-7.954243	0.743
ACH-000677	73759760	-9.385606	1.024
ACH-000888	73759760	-7.954243	0.806
ACH-001075	73759760	-7.954243	0.7124999999999999
ACH-000655	73759760	-7.954243	0.754
ACH-000186	73759760	-8.431364	0.728
ACH-000783	73759760	-7.477121	-0.293
ACH-000017	73759760	-8.431364	0.947
ACH-000886	73759760	-9.385606	1.1005
ACH-000711	73759760	-9.385606	1.011
ACH-000056	73759760	-7.0	-0.184
ACH-000757	73759760	-10.81697	1.008
ACH-000595	73759760	-9.862727	1.044
ACH-000510	73759760	-8.431364	0.9954999999999999
ACH-000067	73759760	-9.385606	0.94
ACH-000819	73759760	-7.477121	0.559
ACH-000053	73759760	-10.339849	1.011
ACH-000867	73759760	-10.339849	0.938
ACH-000158	73759760	-10.339849	1.09
ACH-000867	73759760	-8.908485	0.99
ACH-001274	73759760	-7.0	-0.43
ACH-000852	73759760	-7.0	0.767
ACH-000053	73759760	-7.954243	0.141
ACH-002004	73759760	-8.431364	0.856
ACH-000787	73759760	-7.954243	0.941
ACH-000869	73759760	-9.385606	0.974
ACH-000264	73759760	-7.954243	1.006
ACH-000787	73759760	-9.385606	0.937
ACH-000440	73759760	-8.908485	1.05
ACH-000825	73759760	-7.0	0.356
ACH-000660	73759760	-10.339849	1.008
ACH-000311	73759760	-10.339849	0.9935
ACH-000759	73759760	-7.0	0.274
ACH-001274	73759760	-9.385606	1.007
ACH-000627	73759760	-9.862727	0.9644999999999999
ACH-000788	73759760	-10.339849	1.036
ACH-000749	73759760	-8.431364	0.97
ACH-000150	73759760	-7.477121	0.534
ACH-000398	73759760	-10.339849	0.992
ACH-000371	73759760	-9.385606	1.073
ACH-000766	73759760	-9.862727	0.983
ACH-000186	73759760	-7.477121	0.203
ACH-000150	73759760	-7.0	0.3285
ACH-000562	73759760	-7.477121	0.18
ACH-000768	73759760	-9.862727	1.05
ACH-000315	73759760	-8.908485	1.041
ACH-000980	73759760	-9.862727	0.961
ACH-000900	73759760	-7.477121	1.013
ACH-000866	73759760	-10.339849	1.004
ACH-000914	73759760	-7.477121	-0.144
ACH-000886	73759760	-7.0	-0.2085
ACH-000367	73759760	-7.0	0.364
ACH-000826	73759760	-7.477121	0.172
ACH-000067	73759760	-8.431364	0.929
ACH-000785	73759760	-8.431364	0.946
ACH-000866	73759760	-10.81697	1.019
ACH-000826	73759760	-10.339849	0.9205000000000001
ACH-000327	73759760	-9.385606	1.011
ACH-000067	73759760	-10.339849	0.931
ACH-000783	73759760	-10.339849	0.961
ACH-000656	73759760	-10.81697	1.001
ACH-000861	73759760	-7.0	-0.01350000000000005
ACH-000869	73759760	-10.339849	0.994
ACH-000819	73759760	-9.385606	0.982
ACH-000875	73759760	-10.339849	0.967
ACH-000092	73759760	-9.385606	0.9575
ACH-000511	73759760	-7.477121	0.623
ACH-000017	73759760	-10.81697	1.017
ACH-000108	73759760	-8.908485	1.037
ACH-000892	73759760	-8.431364	0.908
ACH-002003	73759760	-8.908485	1.021
ACH-000784	73759760	-10.339849	0.996
ACH-000400	73759760	-7.0	-0.004
ACH-000015	73759760	-9.862727	0.997
ACH-001680	73759760	-7.0	-0.662
ACH-000784	73759760	-9.385606	0.986
ACH-000311	73759760	-8.431364	1.0215
ACH-000866	73759760	-9.862727	1.026
ACH-000162	73759760	-7.477121	0.102
ACH-000061	73759760	-7.0	-0.356
ACH-000392	73759760	-9.862727	0.915
ACH-000860	73759760	-8.908485	0.998
ACH-000711	73759760	-8.431364	0.964
ACH-000711	73759760	-10.339849	0.988
ACH-000315	73759760	-10.81697	0.955
ACH-000150	73759760	-9.862727	1.093
ACH-000024	73759760	-10.339849	1.0
ACH-000853	73759760	-10.339849	0.9185000000000001
ACH-000315	73759760	-9.385606	0.984
ACH-000158	73759760	-8.908485	1.049
ACH-000138	73759760	-8.908485	0.975
ACH-000856	73759760	-10.81697	1.027
ACH-000053	73759760	-8.908485	1.018
ACH-000406	73759760	-8.431364	1.008
ACH-000681	73759760	-10.81697	1.023
ACH-000378	73759760	-7.954243	0.8939999999999999
ACH-000348	73759760	-9.385606	1.057
ACH-000406	73759760	-7.477121	-0.419
ACH-000785	73759760	-10.81697	0.959
ACH-000121	73759760	-8.431364	0.943
ACH-000348	73759760	-8.908485	0.939
ACH-000277	73759760	-8.431364	0.942
ACH-000924	73759760	-9.385606	0.952
ACH-001274	73759760	-7.477121	-0.29
ACH-000759	73759760	-10.339849	0.956
ACH-000925	73759760	-8.431364	0.889
ACH-000357	73759760	-10.81697	1.025
ACH-000875	73759760	-10.81697	0.973
ACH-000845	73759760	-7.954243	1.015
ACH-000659	73759760	-9.385606	0.923
ACH-000150	73759760	-10.339849	0.9385
ACH-000062	73759760	-9.385606	1.017
ACH-000867	73759760	-8.431364	0.673
ACH-000578	73759760	-9.385606	0.966
ACH-000925	73759760	-7.0	0.027999999999999997
ACH-000264	73759760	-9.862727	0.981
ACH-000971	73759760	-9.862727	1.024
ACH-000463	73759760	-9.385606	0.997
ACH-000536	73759760	-10.339849	0.948
ACH-000482	73759760	-8.431364	0.749
ACH-000017	73759760	-9.862727	0.98
ACH-000075	73759760	-9.862727	1.02
ACH-000840	73759760	-8.431364	0.873
ACH-000510	73759760	-7.954243	0.954
